Java, Stream, TornadoVM
164126840,177459438,64715121
119642451,20905904,562043
85124610,19926788,441970
85120558,16472980,401369
85080094,15485870,392927
85202848,16119184,493981
85109030,12568634,620808
85096353,12287900,416955
85112829,12448856,388296
85081981,11622549,380275
85182569,12325853,388535
85160037,12003109,388962
85113063,11884501,384833
85104041,11948537,376158
85079554,11589885,364482
85075957,11874919,380037
85190032,12017089,370574
85102809,11746372,382472
85149825,12230089,380215
85088931,11845538,429425
85102984,11981629,388753
85079629,11522070,399426
85106275,11613212,360223
85094551,10237317,348390
85086754,8029824,355319
85076068,7958622,349164
85092916,7954027,370986
85090635,7966492,343056
85077568,7971122,367350
85102885,7972281,338994
85087396,7970264,358301
85087372,7932647,392713
85101430,7925195,337740
85130514,7909550,336320
85088798,7925774,329993
85078430,9512251,330248
85088339,7776550,338062
85071252,8031945,329675
85082698,7930486,335024
85089670,7909594,323323
85083205,7888707,333999
85090242,8020729,373961
85086834,8134057,453079
85090555,8036594,353084
85096142,7944520,321152
85084858,7872886,308755
85087767,7934947,312186
85094537,7932787,311476
85089482,7962147,310325
85091335,8021734,369023
85080809,7877963,319176
85085143,8340562,315839
85125150,8104659,316522
85082082,7979801,321740
85119488,8039376,324468
85093322,7962931,307829
85082010,8163492,301111
85076605,7994838,302564
85088511,7947610,302781
85301975,7989432,302611
85085161,7913969,305091
85098008,8016316,402341
85080777,7901566,324124
85079283,7916008,489812
85076384,8043212,339541
85060542,8192591,309064
85095150,7997669,299232
85086881,8015517,298162
85092186,8010445,292515
85086328,7935229,305429
85074733,8021708,315244
85152779,8190259,291688
85086551,8042145,295592
85076419,7955496,299203
85087559,8017189,300599
85099706,8198773,293379
85087473,8004451,299323
85087281,7972798,297351
85082823,8283379,291842
85084749,8137425,290649
85147496,7912555,299545
85114057,8017001,297309
85088588,8065602,291688
85086223,8172829,297604
85073813,7895593,314279
85088592,7943373,351625
85081093,7970329,320569
85080228,8761056,296760
85073726,7885669,304323
85063239,7958987,298438
85100674,7941271,288264
85095986,7941147,296426
85090755,8012814,291623
85087684,8042243,289514
85095122,7956164,308843
85104728,8095393,335665
85075831,8018481,306438
85081150,7922181,286633
85081770,7964618,285472
85137143,7947287,290510
91591634,7900548,289827
